,label,keyword
841,1,嗯之前是但是
0,1,呃算怎么了
1033,1,嗯是啊但是
1489,1,男士关注啊
1460,1,嗯对呀咋啦
276,1,是单身状态呀
1170,1,那他担心啊
1543,1,还是单位
375,1,我我是单身哪
446,1,哦哦现在那个
107,1,是的我是大声
1432,1,好行行没事啊
1861,1,呃就是错了
1559,1,对是怎么样啊
1929,1,但是一直单身
1644,1,我那个离异
1882,1,哦哦哦好吧
1885,1,哦没有就是
866,1,对对但是
2123,1,一直都是啊
1947,1,哦哦哦哦哎
1642,1,他就是我
718,1,哦哦那个这
401,1,但是我看看
1190,1,嗯没有啊在家
548,1,嗯知道是吧
1438,1,嗯怎么样嗯
778,1,嗯但现在
1538,1,啊兰先生
193,1,呃现在是的呀
1639,1,怎么就是
312,1,是是但但是呢
203,1,是单身吗嗯
503,1,对呀但是
1024,1,嗯现在哎哎哎
488,1,嗯我现在不找
1844,1,哦就是打理了
594,1,哦我现在嗯
159,1,对现在是但是
602,1,现在呀是啊
422,1,但是人
1593,1,嗯是是是还是
2102,1,对我再试试
971,1,啊是的但是呢
55,1,哎我是单人
1985,1,担心了能不能
82,1,嗯我是单扇
1991,1,对女士吗
356,1,呃但是
1149,1,最担心
1687,1,我现在要就是
2149,1,嗯我记得
899,1,但是那个吗
1363,1,嗯什么问题呀
223,1,嗯现在是吧
24,1,我是唐僧啊
2024,1,对你们这啥啥
2098,1,可以你说
1569,1,还是八天
724,1,是啊现在
968,1,啊那现在我是
1829,1,哎对就是
1390,1,是啊离婚的吗
1746,1,我离异了
1416,1,还是干嘛
78,1,对对对我是的
629,1,嗯嗯我知道
2082,1,呃是啊他你们
201,1,哦知道嗯
565,1,嗯但是怎么了
480,1,我是单身怎么
1141,1,我说我听到了
615,1,嗯没那个啊
1801,1,嗯我现在意思
1942,1,嗯我试试哈
949,1,但是啊你说
1126,1,什么担心啊
1608,1,哦就是在
1423,1,对怎么样了
42,1,哦三三幺
485,1,嗯是但是不
1533,1,对的先生
1610,1,嗯那就可以
1895,1,奥就是
343,1,嗯要那个
1549,1,对啊担心啊
840,1,走了对但是
1184,1,我说我是单车
2011,1,哦现在是离异
1230,1,需要一个人呀
1267,1,对呀一个
2049,1,就是利益了
1521,1,啊我担心我
561,1,喂但是对但是
22,1,嗯是喂
1817,1,哦我就是
634,1,嗯知道
1666,1,嗯我是离异
1382,1,对的怎么样
426,1,嗯知道了你说
803,1,嗯我现在蛮好
321,1,好那个呀是啊
592,1,啊我是单身呢
1139,1,啊对怎么还是
998,1,哦那个是我朋
983,1,啊那个对
74,1,嗯我是大三的
1654,1,一直是单身
1310,1,啊好担心
360,1,啊那个嗯是的
821,1,嗯现在我是
2005,1,嗯我试试
1820,1,我说刚离异啊
2069,1,哎呀一直都是
601,1,我知道是的
1159,1,是的我是担心
1381,1,嗯对咋啦
2113,1,就可以了对
38,1,哦我是单层
1653,1,哦哦哦没有
1429,1,呃怎么样
12,1,对呀大帅呀
1302,1,嗯我先方便
896,1,啊对但是
1799,1,就是的是的我
1264,1,你咋啦
1496,1,嗯没有结婚呢
2003,1,哎对可以
738,1,但是可乐
1080,1,嗯是但是
1864,1,哦哦哦哦哦是
1916,1,一直都是
156,1,对好啊知道
1842,1,啊我就是那
307,1,现在也是
1220,1,我担心的
300,1,是单身四百三
2093,1,那再那个离异
1834,1,就是六十九
2052,1,对意思哪里
2018,1,是的是大人
528,1,是是但是我
1691,1,啊啊就是
1272,1,啊我是单车的
1784,1,就是这种事
1059,1,好现在是啊
2004,1,嗯是这样子
1739,1,就是sa
816,1,我我是但是我
714,1,嗯那个嗯是的
1425,1,哦你问问题吗
432,1,嗯但是嗯
259,1,我是单身哪
1684,1,啊就是吧
573,1,哦我现在也是
1334,1,是注册了
1200,1,还是男人
1436,1,对啊什么问题
470,1,对呀但是我
322,1,嗯现在是单身
1909,1,就是嘛哎对
351,1,对啊但是呢
812,1,对呀但是但是
60,1,哎我是的呀
1891,1,嗯现在不能嗯
1258,1,有事吗
1788,1,可以是的呀
538,1,我现在是
397,1,但是是大事了
1246,1,嗯还是怎么
43,1,四三三呐
6,1,啊对呀请讲
1236,1,对还是
868,1,知道嗯
45,1,嗯对我是
889,1,嗯现在不嗯
1414,1,是的离婚了
807,1,嗯是的知道了
696,1,但是两个呢
238,1,啊是的我单身
540,1,呃对呀但是呢
755,1,是但是那怎么
2090,1,嗯女士的
1043,1,我知道就是
27,1,呃三三嗯
1333,1,还是单程
367,1,嗯哎这种那个
2109,1,嗯请问你女士
1646,1,啊就是那
1107,1,嗯但是对对
449,1,哦现在嘛对
1506,1,我已经单身
1768,1,就是啥意思
785,1,对但是我
2066,1,是啊可以
1816,1,也就是
1110,1,对现在是白
306,1,南门但是对我
1965,1,不是是离异
269,1,单身咋的
1874,1,我我就是
222,1,但但是
1652,1,哦哦哦对对
2078,1,嗯女女士当中
2095,1,可以呀啊是
1165,1,我担心啊
297,1,对呀但是呢
1906,1,哦哦哦记得了
743,1,我的资料对呀
1296,1,这单车呢
1743,1,嗯就是怎么
1878,1,哦我就是旺旺
202,1,我是啊现在
1698,1,哦就是单一块
1017,1,但是好像
1701,1,是啊就是就是
466,1,对但是但
916,1,嗯我现在有吧
1514,1,我是啊咋啦
93,1,对呀当然啦
291,1,现在忘了是吧
1176,1,s单车
1152,1,当离婚
139,1,对啊单身呢
1983,1,对不过你们那
220,1,啊对那个
1295,1,单身怎么样
305,1,啊现在现在是
445,1,说什么但是
992,1,但是对呀
2075,1,啊对呀我记得
1127,1,哦是啊离婚了
587,1,没有那个我是
286,1,那好了还单身
2100,1,嗯你们那
699,1,我是单身啊
741,1,这但是呢
2135,1,哦哦哦嗯
1260,1,啊对孩子担心
465,1,大概对但是
984,1,那个是是那个
358,1,嗯我那个不
2019,1,哦哦哦我知道
354,1,啊对的那个
2032,1,啊对那个东西
1199,1,对对呀咋啦
873,1,嗯那个是吧
106,1,呃我是单词
316,1,我现在是的是
1794,1,啊就是咋了
931,1,嗯我现在吗
789,1,但是干嘛嘞
1914,1,现在就是那个
1379,1,男士是哈嗯
1477,1,啊对啊我担心
590,1,对对对现在
383,1,但是对
1145,1,还是怎么弄
572,1,但是怎么
972,1,嗯那个那个
97,1,对我是单层
85,1,当然喽
151,1,对呀那个
1322,1,对呀在家吗
2061,1,东西对啊
1457,1,啥我担心啊
2063,1,是一直都是
598,1,是的我现在
94,1,对我是三层
1093,1,但是咋弄啊
532,1,现在是吗
2010,1,你们单身的
655,1,那我我对但是
1781,1,我请问你就是
989,1,但是你谁
1013,1,啊对呀但是
1420,1,啊担心情况
1759,1,嗯就是满意
1910,1,哦哦哦哦是是
1493,1,我离婚呢
1967,1,嗯但是离异吧
9,1,是三三
2087,1,嗯听不到啊
261,1,那但是我
217,1,我是单身呀
589,1,我但是呢
1009,1,是的呀但是呢
273,1,哦我是单身呀
146,1,嗯现在是我
54,1,我是单身那大
832,1,但是那张呢
33,1,三千啊
507,1,但是qq、
1629,1,哦没有离异
2045,1,嗯可以申诉
327,1,啊是的但是我
633,1,对还没那个
545,1,嗯但是我
1717,1,哦哦哦是呀
444,1,我我是单身嗯
1055,1,是是是但是
219,1,呃是单身
187,1,我是那个虫
920,1,啊但是呢
911,1,但是成功了
19,1,我说我四三针
1261,1,先生怎么了
464,1,嗯我是单身吗
1433,1,还是担心
611,1,嗯现在的给你
1487,1,啊你有事吗
1567,1,呃离婚离婚
631,1,哦但是呢
635,1,我是单身哦
969,1,我是单身对
1089,1,嗯但是
111,1,啊我是单程的
1480,1,嗯我显示的
392,1,我现在有了
294,1,对但是我不懂
1228,1,就担心的
1356,1,还是开衫
1989,1,嗯可以不选吗
1361,1,哎呀这个事啊
409,1,嗯对但是干脆
1473,1,我现在担心了
1214,1,对的一个人
995,1,嗯不知道啊
1309,1,啊对咋啦
667,1,哎我是单身啊
1623,1,啊对对就是啊
2027,1,哦哦哦是是是
1738,1,嗯找不到
723,1,嗯你那个
1235,1,怎么样呢是啊
1065,1,我知道了是的
10,1,是啊是三三
1020,1,他说是吧但是
936,1,是但是是
1724,1,哦离异状态
1936,1,对我是离异的
1342,1,我是啊有事吗
1470,1,我是没事
1856,1,嗯嗯水离异
1328,1,呃单车啦
689,1,嗯但是离一哈
1993,1,这样子啊是啊
227,1,是啊我是单身
663,1,但是我的事宜
597,1,我我是单身啊
65,1,嗯我是
586,1,哦哦那个
608,1,啊但是但是
1562,1,嗯什么问题
717,1,我知道是他
1299,1,嗯我注册一个
1468,1,珍爱网我是啊
1537,1,呃那现在还是
100,1,我是当真呢
917,1,啊对但是呢
581,1,我现在是是的
1648,1,就是高呼叫
1762,1,嗯就是哎
116,1,啊当然啦
1377,1,不是离婚
1072,1,嗯现在啊
1037,1,呃我现在是的
820,1,行啊我现在是
1670,1,就是我谢谢你
84,1,对我是当山
1209,1,好担心的
1062,1,但是单怎么
686,1,现在是是呀
1021,1,呃现在呃是啊
1592,1,还是什么会
815,1,哎但是
1064,1,对但是呢
1893,1,可以对呀
1397,1,真的还是假的
1367,1,是的咋啦你说
1118,1,哦是但是的呀
623,1,对现在哦
1097,1,哦我对但是
773,1,对呀他知道
1733,1,可以谢谢
245,1,哦那个啊是啊
762,1,现在是到账
1166,1,网络还是那个
103,1,当然是啊
996,1,嗯对但是我
1038,1,嗯我不去那个
364,1,你现在是
1501,1,有听到了知
178,1,对是单身
1270,1,对的我是注册
161,1,啊但是怎么了
1958,1,嗯是女士
768,1,嗯现在还
2114,1,嗯是的意思是
1631,1,对呀你们了
4,1,啊嗯是啊
1242,1,是什么担心呐
1551,1,珍爱网对呀
1661,1,呃离异
393,1,嗯现在是啊
431,1,啊现在都是
892,1,但是啊干嘛
231,1,我是单身嗯
1845,1,嗯这样子的呀
1617,1,是啊是大人的
1808,1,哦哦哦哦是
1894,1,嗯等女士
37,1,当然是
726,1,好现在对
909,1,哦那个对呀
639,1,现在就走是吧
2054,1,是怎么还睡觉
290,1,对单身单身
1237,1,还有担心吗
2155,1,哦哦哦现在啊
1445,1,我已离婚了嗯
756,1,是的我现在在
1229,1,我没有结婚呢
162,1,我现在对
704,1,嗯知道了吧
199,1,对写的是但是
1822,1,哦那就是我
967,1,对啊找那个
1197,1,嗯可以了解
412,1,嗯我现在在
1589,1,哦现在还是的
961,1,嗯现在是
484,1,我现在是光
1434,1,嗯对呀有事吗
1726,1,哦我离异
885,1,我是好玩那个
1208,1,对你有事吗
165,1,是版本但是
1585,1,肯定是担心吗
610,1,哦对我但是
1866,1,哦这就是的
2146,1,是离异
1630,1,就是看了一下
1073,1,嗯那个
962,1,当车嘛但是啊
128,1,对我单身
1636,1,嗯我试试的
1464,1,呃现在是担心
1156,1,嗯行没事进去
1686,1,对就是
2036,1,嗯为啥一直救
790,1,嗯现在吧
864,1,我说我是单身
1338,1,啊离婚了
1113,1,对但是这个
277,1,嗯我现在呢
267,1,但是不需要
149,1,嗯哦那个
1957,1,嗯妈妈口掉了
1640,1,哦就是那个
1015,1,但是抱歉我
946,1,嗯现在的啊
281,1,嗯是但是现在
1030,1,哦那个没有嗯
1039,1,嗯现在呢
458,1,嗯现在是呀
292,1,我是但是
527,1,哦但是
1273,1,咋啦是啊
1987,1,嗯不收谢谢啊
1675,1,嗯女士九零
1304,1,还是担心吗
1006,1,是当前但是
1705,1,啊就是身份证
1782,1,你们举报对
1598,1,嗯问这个问题
1143,1,四、单车呢
182,1,现在是啊懂了
1949,1,我说我离异
1253,1,对还是在半身
516,1,哦我儿子但是
642,1,但是嗯
662,1,哦那个我是的
793,1,对我现在说
913,1,但是有背四嗯
1483,1,哦对我是单车
2153,1,是但是我离异
1932,1,嗯那试试
369,1,嗯现在不说了
257,1,嗯我现在不在
626,1,嗯是的但是我
531,1,但是到
926,1,嗯不知道
1162,1,哦咋啦你说
1555,1,我是离婚的呀
352,1,是的现在啊
1814,1,哦哦哦珍爱网
1398,1,还是保险
577,1,呃我是单身狗
547,1,嗯现在那个嗯
637,1,但是我是单身
336,1,嗯我那个
1288,1,呃没有结婚呢
2064,1,啊是一直是
1752,1,哦哦哦哦现在
1371,1,没有没结婚呢
1986,1,哦那天嗯女士
2139,1,啊对呀就是
359,1,那但是但是
1217,1,啊单车
133,1,一碰到但是
1327,1,是担心啊
1750,1,嗯不不能啊
1373,1,啊已经单身了
1179,1,怎么回事是
2091,1,哦哦哦哦是的
888,1,但是呢是啊
1188,1,我还是单身嗯
732,1,宅急但是急吧
382,1,嗯现在好死
1978,1,可以的对呀
456,1,嗯现在啊是
1612,1,嗯是我离异了
1693,1,哦哦哦这样啊
270,1,那个是吧
1431,1,对还是单车对
584,1,啊但是啊
136,1,单身啊我是啊
313,1,哦现在对单身
1424,1,我是我是担心
781,1,哎对对对那个
825,1,但是的是的
1454,1,哎我还担心呀
1136,1,嗯查了还是
1404,1,哎担心的
1000,1,呃对但是但是
1449,1,哦就是啊咋啦
221,1,但在那单身
415,1,对对对但是单
59,1,对我是三千
1945,1,哦哦哦那
835,1,想自己单但是
1950,1,对呀对喂喂
596,1,溜钱算是但是
1158,1,对这没没问题
408,1,哦我知道了嗯
1872,1,哦我现在就是
1455,1,啊我还是担心
2039,1,嗯是离异林
339,1,嗯但是那个
340,1,嗯现在就有的
29,1,是单人怎么讲
665,1,嗯但是怎么
2105,1,单身离异
1101,1,嗯知道哪里
687,1,嗯现在还不
1880,1,就是三万
935,1,嗯嗯但是
1308,1,我真是担心啊
1372,1,对担心了
411,1,啊是是现在是
2033,1,对呀一直写对
207,1,那还单身
1821,1,我就是清楚
1522,1,是的什么问题
251,1,我现在单身啊
134,1,当时啊
258,1,哎但是啊
498,1,但是我干嘛呀
712,1,啊那个是啊
1045,1,现在是的是的
141,1,嗯我是单身呢
36,1,啊对我是白色
777,1,哦那个是嗯嗯
1331,1,快了快还是咱
1239,1,对呀怎么样喽
862,1,嗯但是呢我刚
1314,1,我说四单车
1519,1,我是担心呢
1151,1,呃还是啊
1312,1,哦今天还是
767,1,呃我是单身呀
228,1,嗯是但是怎么
1812,1,哦哦哦哎
706,1,嗯不知道吧
566,1,我那个是哎对
1618,1,啊我是离异的
1875,1,啊就是单身
1647,1,啊就是单人
110,1,我是当真
1071,1,知道我是单身
1694,1,嗯你试试
1388,1,嗯对还是担心
1606,1,啊哦哦哦好好
956,1,但现在对对
1579,1,是啊啥子
2065,1,不是单身离异
668,1,我是单身要大
1104,1,我我是那个啥
2059,1,嗯然后你说
1018,1,哦哦现在是啊
1215,1,嗯还没结婚呢
1332,1,现在还是的
1471,1,嗯在家
543,1,但是在那买的
2141,1,啊离异
1938,1,哦离异了
1125,1,我现在是的
67,1,我是在山东
191,1,嗯对他是单身
574,1,啊嗯嗯那个
703,1,嗯现在吧嗯
185,1,哦是单身呐
2006,1,哦哦哦行行
452,1,现在是啊
1175,1,什么什么单车
328,1,我四三三但是
1600,1,嗯可以嗯是
2136,1,嗯我离异的
1061,1,我是单身八三
1269,1,我现在是还是
1469,1,啊好我担心是
288,1,嗯嗯那个
268,1,单身很久了
1087,1,哦是啊但是
1078,1,我是单身大学
1764,1,嗯是可以谢谢
1772,1,嗯是大离异
1637,1,嗯在就是了
1847,1,嗯离异的
1962,1,然后嗯
1836,1,嗯我就是耍
1186,1,那你怎么样呢
977,1,那个卡但是
897,1,对但是我不会
870,1,现呃现在是吧
398,1,现在我是
1255,1,我还是大哥
1241,1,有有事吗
1001,1,我用那个是我
1211,1,老是担心那
1105,1,我永远用但是
437,1,但是笑
614,1,但是是的
214,1,但是我就考虑
859,1,我但是我不大
476,1,什么但是啊
168,1,现在还单身啊
901,1,是但是我不去
740,1,哎我是单身
482,1,好像是但是
40,1,三三犯法了吗
1626,1,就是这了
1628,1,嗯是现在就是
183,1,对但是他
350,1,是的我是但是
791,1,对对对现在是
1213,1,哦那还是
1044,1,现在呃呃是啊
1980,1,啊对呀然后
1362,1,用担心
326,1,单身暂时单身
2106,1,我是但是我们
822,1,是单身是但是
1426,1,对呀怎么回事
64,1,我是呀
448,1,三岁我是单身
1393,1,啊是离婚了
486,1,现在是是是
120,1,突然我是单身
1481,1,好的张先生
457,1,嗯我我是单身
525,1,我是单身进来
2040,1,离异啦
1683,1,哦就是大了
1614,1,嗯可以啊你好
910,1,哦现在是啊
674,1,是那个是吧
808,1,嗯准备但是
504,1,但是我了啊
567,1,但是这三个
1696,1,啊对是离异的
647,1,对啊我是单身
641,1,但是章
1036,1,嗯赞成那个就
794,1,嗯我不搞那个
632,1,对我是单身嘛
167,1,哦但是单人
881,1,对现在是
1275,1,嗯现在方便
1413,1,对听到吗
1997,1,我一直是啊
722,1,啊现在对呀
1294,1,我我离婚了
1785,1,嗯是深圳呢
514,1,但是你说呢
157,1,对啊是单身呢
77,1,我是三三
550,1,我现在对呀
1591,1,对有事吗
1645,1,哦哦哦看吗
1012,1,哦那个是我
140,1,但是呢啊
47,1,对我是张三的
1602,1,呃是的喂喂喂
1443,1,哎呀怎么了
2088,1,哦哦哦是啊
893,1,嗯在现在
570,1,嗯对呀但是
716,1,现在现在是吧
775,1,但是老魏
1283,1,哦没问题
2017,1,嗯这样子了
293,1,啊对但是是的
1022,1,不知道是啊
1667,1,嗯就是这嗯
1534,1,嗯先生
1222,1,魔力担心的
1290,1,哦不是离婚
981,1,大概嗯但是
1867,1,哦哦哦是
853,1,呃是的但是
1560,1,担心呐
1960,1,哦哦哦是的嗯
2029,1,嗯嗯女士
860,1,我现在啊是啊
1348,1,那怎么样啊
95,1,我是单色的
1180,1,四、单车上班
737,1,但是二宝
771,1,啊但是什么王
280,1,但是怎么玩
301,1,那个单身的
224,1,嗯那个啊嗯是
233,1,现在是单身了
1183,1,是单车呀
509,1,四但是饭盒
1605,1,哦哦哦哦你好
1014,1,但是哦
1933,1,对啊然后但是
658,1,对不起那个
493,1,我是单身哪行
1320,1,对啊怎么样
729,1,嗯那个啊
1619,1,嗯是我试试
1966,1,三层的东西
788,1,但是妹
673,1,我是单身的
1676,1,啊就是支付宝
1081,1,嗯现在嗯是的
709,1,但是我呀
929,1,啊我是单身嘛
1458,1,嗯我是担心啊
423,1,对啊我现在
499,1,嗯我现在没
839,1,我那个是我的
1140,1,啊对我是担心
985,1,我是单身涨了
1298,1,三三离婚了
174,1,是啊但是我
206,1,嗯单身呀
759,1,嗯嗯我现在还
303,1,呃现在嗯
746,1,嗯是吧现在
1740,1,嗯不能挂吧
670,1,什么但是的
1053,1,他现在是
963,1,嗯那现在
986,1,哇但是我
355,1,哦知道了嗯好
453,1,嗯嗯我现在
153,1,哎我是单身那
1023,1,呃我我现在嗯
1773,1,哎哎哎就是
886,1,我是单身到了
784,1,是的但是
1943,1,对可以贴的
2008,1,是这样子的
302,1,但是
1354,1,嗯我担心
357,1,啊现在但是
705,1,但是不学了
1337,1,对啊有问题吗
1317,1,对一个人啊
1802,1,三千女士本人
1572,1,单车吗
114,1,我四三三
2124,1,哦哦哦哦好
1280,1,怎么有问题了
471,1,现在对呀
2028,1,喂喂啊对你
1541,1,不是了离婚了
688,1,哦但是单身吗
1221,1,对呀我注册
1879,1,一直都是单身
1254,1,是啊还是单车
849,1,啊对但是您
46,1,哎我是当真
569,1,啊对对我知道
362,1,现在是
834,1,我是单身呢
702,1,哦是的但是
1529,1,这个怎么样
439,1,那个对的
542,1,但是可用
145,1,对知道了
2126,1,嗯是的这样子
1904,1,哎就是
473,1,哦但是呀
661,1,嗯那个啥
1085,1,嗯我知道诶
68,1,我是单纯的
685,1,哦哦那个呃
1048,1,是的我是单身
295,1,我现在是的呀
275,1,那个是儿子
1478,1,啊是还是男
2026,1,嗯哦意思我我
763,1,啊对但我现在
1735,1,这样子啊是的
1753,1,嗯就是谢谢
205,1,好呀现在是的
1826,1,我一直担心呢
2037,1,对呀但是妈妈
1720,1,对的然后我先
177,1,我单身我单身
2107,1,哦哦哦是的
1300,1,担心的
1086,1,哦哦那个嗯
1795,1,嗯没有就是
2025,1,嗯我在深圳的
1263,1,现在还是八四
824,1,哦刚刚但是
1195,1,单身狗啊在家
342,1,但是什么呢
1274,1,我在家对呀
39,1,呃我是
1359,1,二单车
678,1,是的现在
298,1,我是单身的对
1343,1,我现在担心啊
1975,1,是老师女士
1219,1,啊在现在咋啦
1574,1,是又怎么样呢
181,1,呃是是但是
1573,1,对呀珍爱网
1563,1,我等我我担心
378,1,但是但是
2021,1,嗯是然后您说
232,1,四单身
1783,1,对呀一直都是
930,1,但是呃对
1154,1,对海担心
648,1,嗯是到但是
1456,1,是啊我注册
2142,1,嗯记得
2057,1,我一直单身
1915,1,我就是说完了
736,1,但是吗
1548,1,是的我问题
1854,1,我是离异的我
552,1,满我但是
883,1,对我知道要
2085,1,我是单亲妈妈
900,1,但是的啊
15,1,三月三是单身
948,1,啊我现在嗯
1907,1,啊是离异
148,1,哦哦我知道
744,1,我现在嗯
837,1,我现在是啊
311,1,是的知道
70,1,我是
1088,1,嗯是但是这个
1277,1,那我还是班车
938,1,呃但是我不在
636,1,三千但是
1486,1,哎还是三分钟
950,1,哦现在是的
89,1,我当然啊
130,1,没错没错没错
175,1,呃现在是啊
563,1,但是我吗
14,1,嗯胜算是嗯
218,1,啊对单身呢
827,1,嗯行现在帮
1336,1,啊对对对还是
997,1,没有我是单身
1077,1,打开但是在
1755,1,嗯一直都单车
1399,1,你有事吗
638,1,哦我知道是
1233,1,肯定担心的
1615,1,那就是我
1198,1,啊是还是单身
797,1,嗯那个啥了是
1725,1,就是现在
1128,1,对呀担心是吧
1858,1,哦哦哦你说
1770,1,单身的事情啊
1669,1,就是帮我停止
1564,1,嗯在家的
515,1,这我现在是
734,1,嗯我是单身
475,1,但是是属羊
1289,1,南思了解我
1075,1,但是但是但是
2070,1,哦哦哦我看到
1896,1,嗯就是现在
129,1,啊但是现在
1863,1,等会哦哦哦好
125,1,哦哦你是那个
113,1,哦我是单双
1164,1,对还是在审
263,1,啊是啊那个药
347,1,但是你
1240,1,什么呀担心了
627,1,嗯但是小马
1484,1,我说我担心
1417,1,对离婚
1466,1,你还是单身吗
1871,1,是的你们那个
1850,1,离异状态
1218,1,还是什么单子
1526,1,早上我离婚
1406,1,四二四单车
83,1,啊对我我是
1375,1,对呀我担心呢
1973,1,哦哦哦但是
1084,1,嗯是的我现在
1665,1,就是把
176,1,我说是单身啊
1453,1,我是离婚不久
843,1,现在网的是吧
1751,1,我就是看看
1123,1,嗯那个是的
830,1,哦是但是嗯是
1650,1,就是做这件事
2031,1,啊是的然后啊
1530,1,呃是的先生
1032,1,嗯在现在是啊
1387,1,嗯是啊怎么样
1712,1,我是离异的
430,1,嗯现在完了
135,1,是是没错
154,1,我是的但是
1697,1,我就是当真
1035,1,我我知道是啊
799,1,我现在我这是
1961,1,也可以说单身
1266,1,哦哎呀我是
17,1,当然呀
1655,1,就是单子
50,1,哎我是
112,1,当然是怎么了
2056,1,嗯可以这么说
2089,1,离异了
75,1,哦是的我是
147,1,但是又干嘛
676,1,哦那个对
443,1,嗯现在我是的
854,1,但是要
1809,1,嗯可以您说吧
829,1,这我知道但是
2132,1,我是就是是的
980,1,哎我现在是
323,1,但是怎么办呢
952,1,嗯对但是呢
987,1,啊我是单身
906,1,我现在行了对
1510,1,哎你有听到吗
481,1,啊我是单身啊
1335,1,我我好多单车
1016,1,啊是那个是吧
2134,1,你们对呀
680,1,那这是我现在
869,1,呃对但是呢
494,1,我我是单身呢
612,1,嗯对但是
847,1,是啊是啊但是
1954,1,嗯然后
1970,1,妈妈嗯是
2042,1,那哦哦哦啊
907,1,单身呐但是呢
425,1,我是但是呢
1252,1,哦你是啊咋啦
253,1,啊是单身呐
508,1,那我现在是
554,1,嗯知道怎么
1427,1,嗯还是感觉
1903,1,呃我是离异
433,1,是啊是那个
1561,1,还是啊
1536,1,但是呢听到吗
72,1,哦当然是
387,1,但是就是嗯
2099,1,嗯现在北京啊
255,1,单身狗
1374,1,我说现在还是
2121,1,哦是的女士
954,1,我是说那个
1352,1,单车啊干嘛
1114,1,啊对对那个
522,1,呃但是这个
764,1,是的但是呃
659,1,是啊但是呢
8,1,是啊是是是
1492,1,还是那个吗
284,1,但是你这个点
809,1,我对但是
1774,1,嗯试试行行行
1008,1,嗯是被现在
1060,1,但是啊怎么
1860,1,哦就是呀
63,1,是的我是三三
1329,1,我是担心呐
1422,1,哦还是
1187,1,这样咋啦
235,1,现在嗯是的
483,1,嗯那个好
1376,1,现在一个人
871,1,但是是单层的
1155,1,对呀什么问题
1231,1,那我担心嗯
1508,1,这个还是蛋糕
1972,1,哦哦哦啊
534,1,嗯现在也是
1244,1,方便嗯
242,1,啊我是单身的
1251,1,我是单车呢
1099,1,对是但是
460,1,对但是我就是
1664,1,对那个你们
1010,1,那个对啊
