,text,label
238,啊我现在不方便你晚点打来好了,4
239,两天苗单身好没事看看了下完了我再给你打电话现在在外面了不好意思啊,4
240,要不是知道,2
241,不好意思啊回头这联系吧好吧这会儿有点事儿,4
242,我没有我现在已经找到了吧,2
243,那个他对是,1
244,我不需要的了,3
245,哦不是他去拿,2
246,待会我在开会,4
247,哦不需要好了,3
248,嗯嗯结婚了,2
249,哦我现在在外面不方便出,4
250,哦现在不用吧,3
251,啊现在是知道,5
252,空了再再说,4
253,他是说不是,2
254,对我现在有点事回头再说好吧,4
255,没有了是吗,2
256,嗯没了没有了,2
257,撤掉我现在结婚了,2
258,哦不不是查,2
259,我在我在外面有事等我,4
260,我不是了不是,2
261,我没有能记错了吧,2
262,这个我没有注册过吧,2
263,哦单身怎么了,1
264,我没有了嗯,2
265,啊那我是,1
266,到时候再说吧,4
267,嗯不是是哪里,6
268,是啊不用了,3
269,我单身很多年了,1
270,这我回头再给你聊吧现在这边有点事,4
271,哦现在没有喂,5
272,哦那个事啊,5
273,我现在在上班我不太方便接,4
274,啊这一个是不方便,4
275,不是的我已经找到了,2
276,沟通很不不办了回头再说我这边在上班呢好好好比较急我提示好,4
277,我不在北京啊,6
278,二十不是不是,2
279,我那时候去刷,5
280,不好意思我就现在不方便接电话,4
281,南门单身对我,1
282,嗯不用了就是,3
283,哦那什么那现在我开车了对不起回头再说吧,4
284,不用了我相信,3
285,不是的啊,2
286,不是不是哦,2
287,呃这样吧我在开车你晚点再打电话来好吧拜拜,4
288,不是您哪,6
289,嗯那个你过,5
290,暂时用不到,3
291,真慢我是啊,1
292,哦哦哦不需要哈,3
293,嗯我那个是,1
294,嗯嗯我知道,1
295,呃不是没事了,2
296,好现在是啊,1
297,我现在回头再说吧好吧,4
298,超市啥的我从我把燕子萝卜不行了我不不需要了啊,3
299,哦不是找到了谢谢啊,2
300,改天再说啊,4
301,没没有没有住,2
302,不好意思真的已经找到了,2
303,哎咱们空一下再讲哈哎,4
304,哎呀卖了我这现在单身也不太方便等回头联系行吗,4
305,哦已经找到了不好意思哦,2
306,不是我有了,2
307,对没有错,1
308,啊我现在有事回头给你回电话好吧,4
309,呃我不需要了,3
310,我现在不太方便能晚点再打吗,4
311,不是吧再见,2
312,淘宝东西,5
313,哦不好意思不好意思我就那个了已经已经找到找到了,2
314,嗯是这不是了,2
315,这个最后再说吧现在不太方便谢谢,4
316,我现在在上班啊不方便说话,4
317,到时知道,5
318,我我一直都不是单身呐我单身是单身呢,1
319,哦那个没有嗯,5
320,哦那结婚了,2
321,诶错了吧你,2
322,你那个单身的,1
323,哦现在没有了,5
324,是的单身我现在上班不太方便接电话耶,4
325,哦打错坏了吗,2
326,没有我女朋友,2
327,东西,5
328,你弄错了是吧,2
329,对一直是单身,1
330,哦不用谢谢哈,3
331,哦哦哦是,1
332,哎不用不用好,3
333,对你现在说,1
334,不不不是,2
335,哦哦哦不需要谢谢,3
336,不是了找到了谢谢哈,2
337,我没兴趣谢谢,3
338,好好现在就这我在忙,4
339,单身呢,1
340,我我现在已经找到好好谢谢啊,2
341,逛街的搞错了,2
342,知道的你说话,5
343,单身关注,1
344,哦我那是一个,5
345,我说我现在在上班呀不方便市民电话呀,4
346,没搞错吧,2
347,啊是这样子,1
348,我是三芬吗,1
349,是的我现在上班就能不方便谢谢啊,4
350,不需要了啊好,3
351,注册的号玩的,3
352,没有我已婚,2
353,回头再说吧我现在马上去,4
354,哦不行那谢谢,3
355,哦注册了什么,5
356,喂你好我现在在上班不方便跟您说这些东西,4
357,哎对呀就是,1
358,哦我暂时不行,4
359,这个我们回头再说吧我现在有点忙,4
360,哦谢谢我已经找到了嗯,2
361,谢谢不需要了不需要了啊他已经不需要了就是好久好久之前的了啊,3
362,哦现在我已经找到了,2
363,我们结婚呢,2
364,然后密码嗯,5
365,哦那不用了,3
366,不用输入,3
367,啊我现在在外面,4
368,我就不用了,3
369,但单身啊,1
370,这已经不是了,2
371,没有事,2
372,哦没时间好吗,4
373,我现在在外面啊现在有点事情等一下再说啊,4
374,呃那个不是,2
375,是啊我单身啊,1
376,不用谢谢,3
377,啊没有了嗯,2
378,是的不好意思,3
379,我挂了吧挂了挂了挂了挂了,3
380,谢谢不用了这个好谢谢,3
381,哦我那个填的完的,3
382,是的在哪里呀,1
383,真不需要了,3
384,啊哦哦哦,1
385,呃那个是的,1
386,你你再说,4
387,不是不是是的,2
388,我没有我没有,2
389,啊我呃不是了,2
390,我现在现在是,1
391,啊不用了现在,3
392,我先结婚了,2
393,没空现在上班,4
394,这不断的等下打给你嗯好麻烦,4
395,没没不是,2
396,我不是单身我们是不是,2
397,不需要呗,3
398,我不用了啊,3
399,不是那个没需求,3
400,是的没有错,1
401,我现在外面人号码,4
402,啊我不是我已经找到了,2
403,啊不是先,2
404,不是将吗,2
405,嗯已经找到了谢谢啊,2
406,我现在有点忙不好意思我回头给你谢谢,4
407,他的资料,5
408,哦哦哦您说您说,5
409,呃等下再说嗯,4
410,对的对的单身我现在不方便聊天回头有空的话我再跟你聊好吗,4
411,这个没有没有,2
412,呃新的不是吧,2
413,嗯可以现在不太方便接电话,4
414,单身有摄像头,1
415,哦不用了谢谢啊,3
416,我结婚啦,2
417,嗯像不需要,3
418,嗯还有点单身,1
419,这不是不用,2
420,好好好这这会有点忙好了,4
421,呃现在有了啊,2
422,啊不需要不需,3
423,还是单身狗,1
424,您说嗯没事,5
425,不是的是啊,2
426,发错了那个嗯,3
427,哦我现在是上班现在不方便接听电话哦先是这样吗,4
428,啊我现在有事情啊回头联系,4
429,大东西,5
430,嗯我现在有点忙哦回头再讲话吧,4
431,我现在不在,5
432,我现在没空啊不好意思我在外面知道,4
433,哦知道了这个,5
434,啊对我是单身,1
435,哦我现在外面不方便讲话,4
436,我不单身呢,2
437,嗯我是丽,1
438,我现在我现在已经找到的,2
439,嗯现在不用看,3
440,放东西的,5
441,不好意思我现在上班呢还款不方便,4
442,然后我直接,5
443,不是我现在挺忙的,4
444,谢谢我不用啊,3
445,哦哦哦你等一下我有事情呢,4
446,单身就是嗯,1
447,对知道了,1
448,嗯行不需要啊,3
449,没有没有变化,2
450,不是了找到了谢谢啊,2
451,登了我已我已经找到了,2
452,啊我对那个没有啥兴趣啊谢谢,3
453,啊不是我注册的啊,2
454,我不是,2
455,嗯这个我已经找到不好意思,2
456,嗯我知道了嗯,5
457,呃真的没有,2
458,哦我现在不方便啊你晚点打吧,4
459,今天没空玩,4
460,呃我是,1
461,钱不是,2
462,呃我都不需要,3
463,那个不用了我现在有人给我,3
464,哦不好意思我跟你讲这个,3
465,是八分单身,1
466,是然后单身我今天现在在外面直接吵没时间,4
467,哦那个哦嗯是,1
468,哦没事的乖乖,2
469,哦那个我是,1
470,嗯不是的嗯,2
471,没有搞错,2
472,喂是可以我说,1
473,单身,1
474,哦吧我我已经找到了哈谢谢,2
475,哦这个再说,4
476,是单身我现在没时间我在上班呢回头再说好不好,4
477,谢谢不用哈,3
478,我不需要谢谢啊我是单身,3
479,好那我不去我就有朋友的不好意思啊,3
480,不是的有了,2
481,啊那个吗,5
482,那你晚点买点打电话给我,4
483,我我是把我的,1
484,我已经注销了,3
485,现在我的吗,5
486,呃不用了没有,3
487,呃呃不用了哈,3
488,不是吧我才刚注册的,1
489,嗯目前离异,1
490,哦现在忙好吗,4
491,不用了他已经找到朋友了谢谢你啊,2
492,哦我现在在外面不方便啊,4
493,我现在我现在外面不方便哈你过两天红章吗,4
494,我知道的呢,5
495,不好意思我把那个取消不了已经找到人了,2
496,啊不行不行,2
497,我现在不方便接电话回头再跟你联系吧好吗,4
498,那个我取消了,3
499,没有啊好了,3
500,嗯不用去弄了,3
501,哦哦哦哦我现在没空,4
502,这不是了,2
503,行吧那怎么样,1
504,不需要了我不需要了我今年五月份结婚谢谢,2
505,这样不用不用,3
506,我是单身的,1
507,现在在忙回头再聊吧啊不好意思,4
508,嗯你有什么,5
509,啊是离异,1
510,嗯不是要吧,2
511,不知道填错,2
512,哎呀不需要,3
513,啊没有还完的,2
514,呃不需要挂了啊,3
515,那个是是那个,1
516,我知道是谁的,5
517,现在没,5
518,啊不用了没有,3
519,嗯现在有事情,4
520,现在吧,5
521,我现在已经找到了,2
522,嗯错了不是,2
523,不好意思我我现在已经找到了啊,2
524,呃我已经卸载,3
525,哦不是有有了,2
526,呃呃没有,2
527,哦不用了哦,3
528,嗯不需要谁呀,3
529,呃呃不用了,3
530,我不信现在已经找到了,2
531,是没时间,4
532,我是男士,1
533,没有风吗,3
534,啊我现在上班时间不方便了解些不好意思啊再见,4
535,啊我就是开车,4
536,嗯没有搞错呢,2
537,不是那啥没有正忙着呢回头聊呗行吗,4
538,有没有搞错啊,2
539,知道我,5
540,不能这样,5
541,然后资料,5
542,哦不用了就,3
543,哦我结婚,2
544,搞错了不是的,2
545,哦不是哈,2
546,那这个我我不考虑我不考虑你们线下好吗,3
547,不好意思好的,3
548,我不是白,2
549,嗯没事了,2
550,哦我现在外面吃饭有事再返,4
551,听得到吗是啊,1
552,啊现在搞着呢,5
553,不用核对了不用核对的,3
554,不打搞错了吧,2
555,不是要了,2
556,呃不是了不是,2
557,方便接电话,4
558,嗯单身我,1
559,我现在我现在,5
560,嗯现在不需要了会会啊,3
561,嗯是这个问题,1
562,当然了,1
563,哦结婚哪哪里,2
564,这个资料,5
565,你有事吗,1
566,你咋啦,1
567,哎是的我们情况,1
568,我搞错了吧,2
569,我没有了,2
570,我现在忙呢,4
571,没有扣,4
572,当当,5
573,不不不不是好,2
574,嗯写的没有,5
575,这是什么那个啦,5
576,我在开会哈,4
577,我说我现在忙,4
578,哎单身单身,1
579,呃你搞错了吧,2
580,呃可以注销了,3
581,我这边有事啊完了那个回头再找再给我打好吗,4
582,我现在人在,5
583,现在没人,5
584,我是单身一吧,1
585,你你再说,4
586,哦就那个呢,5
587,我现在只是我讲嘛现在在关注呢不是很正常吗那人不都是在你关注他他关注你吗,5
588,好了没有,2
589,单身呃对,1
590,呃不行不,2
591,弄错吧,2
592,妈妈嗯是,1
593,嗯不用不用用,3
594,我永远用单身,1
595,那那不是我注册我没在珍爱网上注册东西,2
596,不是么,2
597,可以谢谢,1
598,我是十是,1
599,啊不是好吧,2
600,嗯我现在不太方便回头再聊,4
601,那个我不是啊,2
602,那不用啊,3
603,还没有对象呢,1
604,哦那个哦哦哦哦你是说那是什么往来的,5
605,没有没有结婚,2
606,呃我有对象,2
607,你们神经病,2
608,已经找到了已经找到了,2
609,哦哦知道,5
610,没没好没有哎,2
611,你那个房子呀,5
612,哎呃不是,2
613,嗯没有钱结婚,2
614,哦现在是吧,1
615,呃没有没有嗯,2
616,啊不是的你现在说是要给我找,2
617,啊不需要啊哎,3
618,嗯对的说我现在外面不好意思,4
619,放错弄错好,2
620,不用怎么了,3
621,哦回来再说吧,4
622,我得睡觉呢,4
623,我搞错了哈,2
624,单身你这个点,1
625,哦单穿单身,1
626,我知道啊,5
627,对我不续的一个不太方便接电话赶快起来,4
628,嗯显示的,5
629,不是不需要了我现在有好好谢谢,2
630,啥子字的呀,5
631,啊我现在有点忙回头再说好吧,4
632,哦回头一下好不好回头我现在有事情啊嗯好我现在就没事啊好,4
633,你好现在我不需要这个,3
634,现在没有哈,5
635,嗯现在没事,2
636,呃我有对象了,2
637,哦没搞错了吧,2
638,我现在是一个孩子的母亲而且也有家庭谢谢,2
639,喂喂喂不好意思我现在外面现在就是太方便接电话,4
640,在外面远远是哈等一下再回来,4
641,单身吧,1
642,哦先不用,3
643,啊你好啊你好我现在不需要了,3
644,你弄错了哈,2
645,哦哦哦那个,5
646,啊不是找到了,2
647,没有没有啊嗯,2
648,不单身不需要谢谢再见,2
649,知道了啊,5
650,现在已经有了,2
651,哎不是你说,2
652,哦回头再说行吗因为现在正在,4
653,俩女朋友啊,2
654,不好意思啊现在没这个是我现在外面啊,4
655,哎员不单身了哈谢谢,2
656,现在没空接,4
657,现在没有空呢,4
658,我在重庆,5
659,老婆已经取了,2
660,嗯没有没有,2
661,哦我那个那个我搞得还完了,3
662,哦哦我现在忙,4
663,呃对离异了,1
664,现在我在外面出差呀先不了,4
665,不是你那个,6
666,我搞这个东西,5
667,嗯我现在已经找到了谢谢,2
668,我注册玩了不好意思,3
669,不是他是,2
670,哦那个是单身,1
671,这会忙了回头再说吧这都联系好吧,4
672,嗯不行哈,2
673,不是啊他是,2
674,啊我说不用了,3
675,哦再说吧好,4
676,他没有没有,2
677,删除老丁头了哈,3
678,嗯没有勒,3
679,呃我是他,1
680,我知道不是,2
681,啊我现在在外面讲话都听不到在内个都算,4
682,你现在就好,5
683,我发一些在找,5
684,不用核对了,3
685,那没有啊,3
686,呃不是我要结婚了,2
687,我没有弄呀,2
688,我是那个网站,1
689,那个不是那个,2
690,嗯现在我是,1
691,是还是嗯,1
692,没有我是在外面,4
693,没没时间好的,4
694,我现在不方便晚点再收到吗好谢谢啊,4
695,天猫搞错了,2
696,呃单身呢,1
697,不用反正,3
698,啊是你哪里呀,1
699,我现在跟他说,5
700,没有啊是啊是,3
701,嗯现在吧,5
702,我我有老婆的,2
703,啊不啊我不是,2
704,你还是单身吗,1
705,也不是我我我,2
706,对呀对呀是单身,1
707,哦哦哦好,5
708,哦不用出去,3
709,啊没有谢谢谢谢啊,3
710,没有没有填错,2
711,嗯再说嘛,4
712,啊我已经找到,2
713,呃是不是不是,2
714,我现在忙呢我在看书不好意思啊,4
715,啊还没有,5
716,单身你谁,1
717,对但现在没有跟我们有时间像这样子哈,4
718,不是单身找到,2
719,我把呃没有,2
720,我没事挂了,3
721,啊对不是不是,2
722,是的知道,1
723,嗯我不好意思,3
724,离婚离异的,1
725,我不信现在已经找到了,2
726,我是丹丹呀,1
727,没有听清楚啊,6
728,嗯我现在现在已经找到老婆了,2
729,哦哦哦我就现在不需要了不好意思,3
730,花少和方便,5
731,我们不需要我不吓得啊我不需要的谢谢啊不是单身后再再,2
732,嗯不用不是,3
733,不好意思我现在在外面啊回头我再跟你聊吧好吧,4
734,啊不是不是吃,2
735,我有事我有事,4
736,哦不是找他了,2
737,对你是哪里的,1
738,对我现在那个公司上班这是不是很方便才好吗,4
739,不是不是哎,2
740,如果没有我没注册过,2
741,哎现在的,5
742,我就注册东西,5
743,我还是这样子,1
744,哦不是的我已经找到了,2
745,哦好谢谢哈,3
746,那不是我弄的,2
747,啊找到了找到了已经已经找到了,2
748,现在不是意思,2
749,呃呃那个,5
750,啊不是的已经找到了你帮我取消吧,2
751,那个卡单身,1
752,我现在上班的不方便啊用我再说吧,4
753,哦不是好,2
754,什么什么单身,6
755,爸爸是那个,5
756,嗯是的我已经找到了,2
757,是的单身我现在上班不太方便,4
758,对呀不过我现在在上班不方便,4
759,这样子我现在上班不方便不方便讲话好吗,4
760,哦现在外面忙哈,4
761,现在的,5
762,现在啊是的,1
763,现在不方便嗯上班不好意思啊,4
764,那好好好好好拜拜我没结婚了好吧拜拜,2
765,呃我我不是,2
766,我你看我像单上吗,5
767,我暂时没有这方面写啊,3
768,这不是说着,2
769,现在还是单身,1
770,我在外面呢好好我再看一下啊,4
771,不好意思我现在上班不方便说,4
772,没有没有不需要不需要啊,2
773,门了没有,2
774,不好意思我出了正忙着一会一个小时后给我打吧好吧我做房子呢啥意思,4
775,嗯现在没时间回头单身你联系,4
776,我现在在上班你晚点再打电话给我行吗,4
777,我现在每个时间我在外面进客户稍等一下可以吗,4
778,哦没有弄错了,2
779,不需要的啊,3
780,没有怪,3
781,你们打错了,2
782,没有了啊嗯嗯,2
783,嗯不需要了哦,3
784,嗯单身那个,1
785,这这样子的我现在没空有空再你再打过来吧好,4
786,单身那怎么样,1
787,那个是是那个,1
788,不是对那个,5
789,我没有没有,2
790,哦现在忙着呢,4
791,不是我的我这个结果么六十了你找我,2
792,没有没有没有,2
793,你就先不需要,3
794,先挂了这会忙着呢好好好,4
795,乱填的不是了,2
796,哦不用不需要已经找到了啊,2
797,现在我有事情回头再说吧好吧,4
798,知道吗,5
799,啊不用没有,3
800,我是单身单身我不需要这个,3
801,对啊我没在我没我没上呢,1
802,我现在我就观察一下先回头再说啊,4
803,我请问你就是,6
804,哦那个的话,5
805,不单身的不用你这个了谢谢啊,2
806,单身的是,1
807,不好意思我现在不方便接电话在上班呢,4
808,啊那不用了,3
809,对呀一直都单身啊,1
810,哎不用了不用,3
811,什么事你说我现在不方便接电话我现在手机在外面有点远,4
812,嗯我是刚结婚,2
813,哦我昨天那个,5
814,嗯嗯刚处了这处了该死了,2
815,哦是不用不用,3
816,介绍好再见啊,3
817,对是单身啊,1
818,啊啊我我已经找到了啊,2
819,嗯现在啊,5
820,不用了谢谢见,3
821,哦不用了吗,3
822,哦那不对没有,3
823,这样子对呀,1
824,对呀我现在在开车好好吧,4
825,喂我结婚了,2
826,哦不用好的,3
827,嗯没有了谢谢你,3
828,不知道怎么,5
829,太麻烦不需要,3
830,单身妹,1
831,哦晚点再打吧现在不方便,4
832,啊是我现在在吃饭我回头跟你联系好吧在吃饭了的,4
833,嗯不是我在哪注册什么呢这些,2
834,五七六啊人必的,5
835,哦哦不是,2
836,那个你晚点打电话行吗我现在这边有点事,4
837,我也不是不是,2
838,是点完再说吧,4
839,哦不是嘞,2
840,哎你好不好意思我现在没时间,4
841,我是我呀,1
842,摸东西,5
843,哦哦哦这个不需要了,3
844,现在还是单身,1
845,我在上班我回头我打给你好吗,4
846,嗯单身离一哈,1
847,对怎么样了,1
848,不用了不用了现在已经找到了哈谢谢啊,2
849,哦我现在已经找到了,2
850,是啊什么网,1
851,哦我现在不方便啊好嗯再见啊,4
852,那个我们孩子,5
853,我现在先忙着回头再了解好吧,4
854,那个高,5
855,嗯现在忙着啊,4
856,啊没有吧可能,2
857,对对还单身,1
858,啊对咋啦,1
859,啊对对对我还是,1
860,现在不需要了已经找到了谢谢啊,2
861,我是张单身,1
862,啊是一直到,1
863,是呃不是不是,2
864,不是我我已经找到找到了,2
865,嗳没有,3
866,啊我现在已经找到了,2
867,那个淘宝,5
868,哦不是了是的,2
869,啊对那个吗,1
870,啊怎么了你你说吧直接说吧我这现在外面忙着呢,4
871,对对对不用了,3
872,啊不用了嗯那,3
873,哦单身单身,1
874,我靠那个,5
875,呃没事挂了啊,3
876,哎我是单身啊怎么了,1
877,哦不好意思已经找到了,2
878,哦可能搞错了,2
879,嗯是的是单身,1
880,上班现在不方便,4
881,那你搞错了,2
882,啊不是啦嗯,2
883,哦不好意思啊我在外面有事哈,4
884,请问你有事吗,1
885,怎么样,1
886,哦你打错了吧拜拜哦,2
887,不是他就玩,3
888,没有没有好了,2
889,哦不知道我,5
890,幺八没注册过,2
891,呃我我已经找到,2
892,那意思你说,1
893,不是不是看他还怎么这都给我撤销吗的注册的我没注册,2
894,啊晕不是了,2
895,不好意思呢,3
896,哦不好意思那个打错了啊,2
897,没空呢,4
898,已经,5
899,呃我现在不在北京我现在拖了出差了不好意思啊等我回去吧好吧我现在正在外面出差了,4
900,哦不用了哈,3
901,不是挂,2
902,哦没有了好的,2
903,不方便聊好吧现在正忙着呢在外面办事呢谢谢啊改天没有,4
904,谢谢谢谢真是的事情其他啊,4
905,没有啊哎,3
906,啊对我现在,1
907,嗯不行谢谢,2
908,我听不到不知,4
909,不好意思我现在没时间那个那个过一段你再给我打电话吧好吧,4
910,啊还是呢,1
911,什么年代的事了我都我都结婚好几年好,2
912,搞错了啊大哥,2
913,我现在饿不方便然后回头再打电话吧好吧,4
914,我现在在外面呢啊不方便说话好了,4
915,哎我好像不是单身你怎么会有这个我的号码呢,2
916,那个打开挂了,3
917,单身正在开会,4
918,哦没有事情,5
919,啊这边回头再说吧我现在这这有事呢好吧我珍爱网不太清楚,4
920,嗯不用了是的,3
921,有不需要,3
922,哪里哦哦哦嗯怎么了,1
923,我没时间谢谢,4
924,哦昨天是那个碰到了没不不注册不注册啊谢谢啊,3
925,或不是,2
926,嗯是您看我现在正谈业务的回头再说行吗,4
927,啊这我是这个我不需要了,3
928,好的不是了哈,2
929,我现在在理发呢回头再说啊,4
930,我现在没空我现在在注册身份这样子的哈,4
931,哎你回头再说吧先这样啊,4
932,没有了哈嗯,2
933,你晚点打电话我可以吗,4
934,我我我我现在在上班不太方便,4
935,找不到,1
936,哦现在结婚了,2
937,哦好像没有吧,2
938,啊我没我没时间内那个我是胡乱申请的那个网不好意思啊,4
939,我现在就是外面有点事回头再说吧好吧哎好好好,4
940,是啊就是就是,1
941,不不不是不是可能弄错的不是我啊不需要了谢谢,2
942,哦不是我注册应该不好意思,3
943,啊对的对的单身我正在忙到时候我回电话给你好吗,4
